start, 2022-06-23 23:06:13.946683
end, 2022-06-23 23:07:51.079239
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.00842600e-05,
-9.62000000e-01, -3.11155600e-06,
-9.24000000e-01, -1.88321800e-06,
-8.86000000e-01, -1.29828300e-06,
-8.48000000e-01, -7.13347700e-07,
-8.10000000e-01, -5.96355600e-07,
-7.72000000e-01, -3.03893200e-07,
-7.34000000e-01, -2.45394900e-07,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 1.05561000e-07,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 1.05560500e-07,
-5.44000000e-01, 1.64055000e-07,
-5.06000000e-01, 1.64054000e-07,
-4.68000000e-01, 3.39530900e-07,
-4.30000000e-01, 1.64053100e-07,
-3.92000000e-01, 3.39533200e-07,
-3.54000000e-01, 3.39535600e-07,
-3.16000000e-01, 3.39533200e-07,
-2.78000000e-01, 3.39530900e-07,
-2.40000000e-01, 3.98029200e-07,
-2.02000000e-01, 2.81040200e-07,
-1.64000000e-01, 2.22547100e-07,
-1.26000000e-01, 2.81036400e-07,
-8.80000000e-02, 2.22544300e-07,
-5.00000000e-02, 2.22545700e-07,
-1.20000000e-02, 1.64054000e-07,
2.60000000e-02, 1.64052100e-07,
6.40000000e-02, 1.64054000e-07,
1.02000000e-01, 2.81042100e-07,
1.40000000e-01, 2.22545700e-07,
1.78000000e-01, 2.81040200e-07,
2.16000000e-01, 2.22547100e-07,
2.54000000e-01, 2.81036400e-07,
2.92000000e-01, 3.39530900e-07,
3.30000000e-01, 4.56516000e-07,
3.68000000e-01, 5.15004800e-07,
4.06000000e-01, 8.07484000e-07,
4.44000000e-01, 1.04143400e-06,
4.82000000e-01, 1.80184600e-06,
5.20000000e-01, 2.67921300e-06,
5.58000000e-01, 3.84908600e-06,
5.96000000e-01, 4.90195300e-06,
6.34000000e-01, 5.95481900e-06,
6.72000000e-01, 6.77371600e-06,
7.10000000e-01, 7.53418000e-06,
7.48000000e-01, 8.06055300e-06,
7.86000000e-01, 8.70404200e-06,
8.24000000e-01, 9.28889800e-06,
8.62000000e-01, 9.69842400e-06,
9.00000000e-01, 1.02833500e-05,
9.38000000e-01, 1.06342300e-05,
9.76000000e-01, 1.10435900e-05,
1.01400000e+00, 1.12776500e-05,
1.05200000e+00, 1.16870900e-05,
1.09000000e+00, 1.21551300e-05,
1.12800000e+00, 1.27400600e-05,
1.16600000e+00, 1.37344500e-05,
1.20400000e+00, 1.56644600e-05,
1.24200000e+00, 1.84719400e-05,
1.28000000e+00, 2.20404600e-05,
1.31800000e+00, 2.48479300e-05,
1.35600000e+00, 2.69536600e-05,
1.39400000e+00, 2.82405000e-05,
1.43200000e+00, 2.92933600e-05,
1.47000000e+00, 2.99372700e-05,
1.50800000e+00, 3.10484000e-05,
1.54600000e+00, 3.22179900e-05,
