Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 00:41:43 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,180,s

Step #1 Quick Stats
17852,points recorded,,0.32611380872,V average
0.14340639114,V minimum,,0.042615912772,V standard deviation
0.33620858192,V median,,180.03346596,s to run experiment
0.37760853767,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
1,0,1e-06,0.14340639114
2,0.0113858,1e-06,0.14561605453
3,0.0214542,1e-06,0.14719605446
4,0.031517,1e-06,0.1483066082
5,0.0415787,1e-06,0.14952015877
6,0.0516748,1e-06,0.15035605431
7,0.0617472,1e-06,0.15135192871
8,0.0718049,1e-06,0.15206193924
9,0.0818954,1e-06,0.15289759636
10,0.0919688,1e-06,0.15357303619
11,0.102035,1e-06,0.15440893173
12,0.112109,1e-06,0.15500426292
13,0.122206,1e-06,0.15577125549
14,0.13227,1e-06,0.15629792213
15,0.142341,1e-06,0.15711092949
16,0.152407,1e-06,0.15759181976
17,0.162471,1e-06,0.15838170052
18,0.172561,1e-06,0.15878248215
19,0.18263,1e-06,0.15949225426
20,0.192697,1e-06,0.15995025635
21,0.202769,1e-06,0.160602808
22,0.212845,1e-06,0.16106081009
23,0.222941,1e-06,0.16172480583
24,0.233021,1e-06,0.16210269928
25,0.243104,1e-06,0.16281247139
26,0.253162,1e-06,0.16316747665
27,0.26323,1e-06,0.16382002831
28,0.273305,1e-06,0.16415214539
29,0.283401,1e-06,0.16479325294
30,0.293468,1e-06,0.16509079933
31,0.303535,1e-06,0.1657435894
32,0.313618,1e-06,0.16607546806
33,0.323681,1e-06,0.16663646698
34,0.333749,1e-06,0.16702580452
35,0.343843,1e-06,0.1674952507
36,0.353913,1e-06,0.16785001755
37,0.363976,1e-06,0.1683652401
38,0.374048,1e-06,0.16869735718
39,0.384135,1e-06,0.16921257973
40,0.3942,1e-06,0.16951012611
41,0.404319,1e-06,0.17003679276
42,0.414333,1e-06,0.17032313347
43,0.424418,1e-06,0.17081546783
44,0.434486,1e-06,0.17106723785
45,0.444559,1e-06,0.17161679268
46,0.454637,1e-06,0.17181158066
47,0.464702,1e-06,0.17240691185
48,0.474773,1e-06,0.17255568504
49,0.48484,1e-06,0.17318534851
50,0.494907,1e-06,0.1731967926
51,0.504993,1e-06,0.17386078835
52,0.515076,1e-06,0.17384934425
53,0.525137,1e-06,0.1745364666
54,0.535222,1e-06,0.17458224297
55,0.545283,1e-06,0.17521190643
56,0.555357,1e-06,0.17523479462
57,0.565428,1e-06,0.17586445808
58,0.575496,1e-06,0.17588734627
59,0.585592,1e-06,0.17644834518
60,0.59566,1e-06,0.17652845383
61,0.605731,1e-06,0.17705512047
62,0.615802,1e-06,0.1771466732
63,0.625868,1e-06,0.17765045166
64,0.635934,1e-06,0.17777657509
65,0.646002,1e-06,0.17824578285
66,0.65608,1e-06,0.17836046219
67,0.666145,1e-06,0.17878389359
68,0.676232,1e-06,0.1789329052
69,0.686336,1e-06,0.17933344841
70,0.696396,1e-06,0.17944812775
71,0.706458,1e-06,0.17988300323
72,0.716537,1e-06,0.18000912666
73,0.726598,1e-06,0.18039822578
74,0.736679,1e-06,0.18051290512
75,0.746752,1e-06,0.18092489243
76,0.756819,1e-06,0.18105101585
77,0.766895,1e-06,0.18146300316
78,0.776974,1e-06,0.1815431118
79,0.787046,1e-06,0.1819896698
80,0.797119,1e-06,0.18206977844
81,0.807213,1e-06,0.18242478371
82,0.817297,1e-06,0.18250489235
83,0.827367,1e-06,0.18289422989
84,0.837429,1e-06,0.18300867081
85,0.847489,1e-06,0.18337512016
86,0.857568,1e-06,0.18348956108
