Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 01:07:48 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,500,s

Step #1 Quick Stats
49606,points recorded,,0.35327284618,V average
-0.11723709106,V minimum,,0.086111879634,V standard deviation
0.38489317894,V median,,500.03347426,s to run experiment
0.41768336296,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
1,0,1e-06,-0.11723709106
2,0.0113917,1e-06,-0.11549663544
3,0.0214316,1e-06,-0.11443185806
4,0.0315167,1e-06,-0.1134929657
5,0.0415794,1e-06,-0.11277151108
6,0.0516425,1e-06,-0.11205005646
7,0.0617094,1e-06,-0.11147785187
8,0.0717927,1e-06,-0.11092805862
9,0.0818577,1e-06,-0.11045885086
10,0.0919282,1e-06,-0.1099319458
11,0.101992,1e-06,-0.10954284668
12,0.112059,1e-06,-0.10910797119
13,0.122134,1e-06,-0.10870695114
14,0.132201,1e-06,-0.10836362839
15,0.142287,1e-06,-0.10798549652
16,0.152366,1e-06,-0.10771083832
17,0.162439,1e-06,-0.1073217392
18,0.172503,1e-06,-0.10703516006
19,0.182584,1e-06,-0.10665750504
20,0.192658,1e-06,-0.10645151138
21,0.202729,1e-06,-0.10605049133
22,0.21282,1e-06,-0.10583305359
23,0.222881,1e-06,-0.10546684265
24,0.232959,1e-06,-0.10528373718
25,0.243055,1e-06,-0.10500860214
26,0.253133,1e-06,-0.1047911644
27,0.263211,1e-06,-0.10448217392
28,0.273283,1e-06,-0.10429906845
29,0.283345,1e-06,-0.10398960114
30,0.293424,1e-06,-0.10380649567
31,0.303484,1e-06,-0.103474617
32,0.313556,1e-06,-0.1033372879
33,0.323638,1e-06,-0.10303926468
34,0.333694,1e-06,-0.10290193558
35,0.343764,1e-06,-0.10254716873
36,0.353835,1e-06,-0.10246706009
37,0.363924,1e-06,-0.10218095779
38,0.374018,1e-06,-0.10206604004
39,0.384104,1e-06,-0.10175704956
40,0.39414,1e-06,-0.10163116455
41,0.404202,1e-06,-0.10134506226
42,0.414278,1e-06,-0.10124206543
43,0.424352,1e-06,-0.1009554863
44,0.434432,1e-06,-0.10082960129
45,0.444509,1e-06,-0.10056638718
46,0.454581,1e-06,-0.10047483444
47,0.46466,1e-06,-0.10018873215
48,0.474775,1e-06,-0.10010814667
49,0.48483,1e-06,-0.099776268005
50,0.494912,1e-06,-0.099719047546
51,0.504972,1e-06,-0.099455833435
52,0.515092,1e-06,-0.09929561615
53,0.525189,1e-06,-0.099157810211
54,0.535279,1e-06,-0.098963260651
55,0.545325,1e-06,-0.098803043365
56,0.555399,1e-06,-0.098654270172
57,0.56548,1e-06,-0.09844827652
58,0.575549,1e-06,-0.098310947418
59,0.585615,1e-06,-0.098104476929
60,0.595681,1e-06,-0.097955703735
61,0.605748,1e-06,-0.097738265991
62,0.615833,1e-06,-0.09766960144
63,0.625911,1e-06,-0.097429275513
64,0.635977,1e-06,-0.097360610962
65,0.646057,1e-06,-0.09707403183
66,0.656136,1e-06,-0.097085475922
67,0.666211,1e-06,-0.096765041351
68,0.676307,1e-06,-0.09675359726
69,0.686368,1e-06,-0.09637594223
70,0.696438,1e-06,-0.096490383148
71,0.70653,1e-06,-0.096066474915
72,0.716611,1e-06,-0.09625005722
73,0.726672,1e-06,-0.095803260803
74,0.736737,1e-06,-0.095917701721
75,0.746811,1e-06,-0.095494270325
76,0.756885,1e-06,-0.095597267151
77,0.766955,1e-06,-0.095184803009
78,0.777026,1e-06,-0.095322608948
79,0.787093,1e-06,-0.094898700714
80,0.79717,1e-06,-0.095024585724
81,0.807239,1e-06,-0.094624042511
82,0.817332,1e-06,-0.094715595245
83,0.827387,1e-06,-0.094372272491
84,0.837452,1e-06,-0.094418048859
85,0.847525,1e-06,-0.094074249268
86,0.85759,1e-06,-0.094142913818
87,0.867667,1e-06,-0.093822479248
88,0.877744,1e-06,-0.093822479248
89,0.887821,1e-06,-0.093536376953
90,0.897878,1e-06,-0.09358215332
91,0.907973,1e-06,-0.093296051025
92,0.91805,1e-06,-0.093330383301
93,0.928148,1e-06,-0.093020915985
94,0.938217,1e-06,-0.093009471893
95,0.948272,1e-06,-0.092769145966
96,0.95835,1e-06,-0.092780590057
97,0.968435,1e-06,-0.092494487762
98,0.978504,1e-06,-0.092551708221
99,0.988581,1e-06,-0.092219352722
100,0.998659,1e-06,-0.092254161835
101,1.00873,1e-06,-0.091956138611
102,1.01881,1e-06,-0.091990470886
103,1.02888,1e-06,-0.0916929245
104,1.03895,1e-06,-0.091715812683
105,1.04903,1e-06,-0.091464042664
106,1.05911,1e-06,-0.091475486755
107,1.06917,1e-06,-0.091177463531
108,1.07927,1e-06,-0.091223239899
109,1.08931,1e-06,-0.090948581696
110,1.09939,1e-06,-0.090960025787
111,1.10946,1e-06,-0.090696811676
112,1.11953,1e-06,-0.090708255768
113,1.12962,1e-06,-0.09046792984
114,1.1397,1e-06,-0.090513706207
115,1.14977,1e-06,-0.090238571167
116,1.15985,1e-06,-0.090227127075
117,1.16992,1e-06,-0.090021133423
118,1.18,1e-06,-0.089952468872
119,1.19008,1e-06,-0.089769363403
120,1.20015,1e-06,-0.089689254761
121,1.21022,1e-06,-0.089551925659
122,1.2203,1e-06,-0.089448928833
123,1.23037,1e-06,-0.089311599731
124,1.24045,1e-06,-0.089196681976
125,1.25053,1e-06,-0.089082241058
126,1.2606,1e-06,-0.08896780014
127,1.27066,1e-06,-0.088819026947
128,1.28075,1e-06,-0.088727474213
129,1.29083,1e-06,-0.088613033295
130,1.3009,1e-06,-0.088487148285
131,1.31097,1e-06,-0.088315486908
