EMRE Device Manager: Chronopotentiometry

System Parameters
Date/Time,2022-09-16 15:44:12.256209


Raw Data

Data Pt,Times (s), Current (A), Potential (V)
0,0.004245,0.000010,1.348516
1,0.533893,0.000010,1.460053
2,0.627722,0.000010,1.523756
3,0.723008,0.000010,1.581009
4,0.811949,0.000010,1.627811
5,0.907368,0.000010,1.672326
6,0.994013,0.000010,1.708354
7,1.090684,0.000010,1.742444
8,1.195399,0.000010,1.771661
9,1.296470,0.000010,1.791340
10,1.382020,0.000010,1.802228
11,1.476941,0.000010,1.810437
12,1.563350,0.000010,1.815287
13,1.674443,0.000010,1.819961
14,1.766409,0.000010,1.822540
15,1.864509,0.000010,1.824903
16,1.965394,0.000010,1.826915
17,2.086271,0.000010,1.828823
18,2.167415,0.000010,1.829831
19,2.248482,0.000010,1.830921
20,2.328688,0.000010,1.831865
21,2.423242,0.000010,1.833124
22,2.525331,0.000010,1.833892
23,2.617571,0.000010,1.835107
24,2.708809,0.000010,1.835342
25,2.802243,0.000010,1.836428
26,2.893596,0.000010,1.836958
27,2.987297,0.000010,1.837327
28,3.075491,0.000010,1.838267
29,3.171432,0.000010,1.838566
30,3.257711,0.000010,1.839518
31,3.342247,0.000010,1.839856
32,3.445488,0.000010,1.840044
33,3.532112,0.000010,1.840604
34,3.618126,0.000010,1.841364
35,3.705779,0.000010,1.841383
36,3.791462,0.000010,1.841698
37,3.877679,0.000010,1.842564
38,3.968982,0.000010,1.842446
39,4.070379,0.000010,1.842906
40,4.158818,0.000010,1.843701
41,4.258411,0.000010,1.844161
42,4.352565,0.000010,1.844016
43,4.438105,0.000010,1.844806
44,4.532576,0.000010,1.844664
45,4.614214,0.000010,1.845075
46,4.699211,0.000010,1.845681
47,4.784783,0.000010,1.845731
48,4.868315,0.000010,1.845673
49,4.948642,0.000010,1.845892
50,5.031851,0.000010,1.846257
51,5.119171,0.000010,1.846970
52,5.202753,0.000010,1.847078
53,5.286454,0.000010,1.847066
54,5.366800,0.000010,1.847281
55,5.462770,0.000010,1.847826
56,5.550917,0.000010,1.847699
57,5.634498,0.000010,1.848141
58,5.729074,0.000010,1.848156
59,5.821640,0.000010,1.848870
60,5.914794,0.000010,1.848962
61,6.014973,0.000010,1.849158
62,6.107597,0.000010,1.849166
63,6.201203,0.000010,1.849734
64,6.294238,0.000010,1.849741
65,6.414078,0.000010,1.849949
66,6.496778,0.000010,1.850317
67,6.581640,0.000000,1.736722
68,6.898918,0.000000,1.722527
69,6.986289,0.000000,1.710401
70,7.073574,0.000000,1.700551
71,7.160424,0.000000,1.692293
72,7.246783,0.000000,1.684223
73,7.333463,0.000000,1.677110
74,7.419080,0.000000,1.671123
75,7.517954,0.000000,1.664093
76,7.604520,0.000000,1.658261
77,7.690125,0.000000,1.652725
78,7.800689,0.000000,1.646840
79,7.891006,0.000000,1.641327
80,7.980184,0.000000,1.637112
81,8.080115,0.000000,1.632058
82,8.177520,0.000000,1.627176
83,8.291868,0.000000,1.621548
84,8.378488,0.000000,1.618012
85,8.470665,0.000000,1.613523
86,8.562754,0.000000,1.609977
87,8.655401,0.000000,1.606041
88,8.733979,0.000000,1.602724
89,8.817790,0.000000,1.599684
90,8.904583,0.000000,1.596171
91,8.985721,0.000000,1.593123
92,9.081068,0.000000,1.589864
93,9.161238,0.000000,1.586974
94,9.242432,0.000000,1.583991
95,9.324237,0.000000,1.581068
96,9.404881,0.000000,1.578179
97,9.486534,0.000000,1.575220
98,9.566787,0.000000,1.572479
99,9.650117,0.000000,1.569693
100,9.747971,0.000000,1.566595
101,9.855269,0.000000,1.563372
102,9.965207,0.000000,1.559987
103,10.056238,0.000000,1.557248
104,10.144677,0.000000,1.554529
105,10.226880,0.000000,1.551952
106,10.309870,0.000000,1.549325
107,10.403584,0.000000,1.547023
108,10.495239,0.000000,1.544282
109,10.578199,0.000000,1.542166
110,10.679070,0.000000,1.539412
111,10.799763,0.000000,1.536283
112,10.892685,0.000000,1.533196
113,10.982216,0.000000,1.531157
114,11.077878,0.000000,1.528695
115,11.170029,0.000000,1.525840
116,11.263415,0.000000,1.523869
117,11.347682,0.000000,1.521440
118,11.429786,0.000000,1.519289
119,11.521428,0.000000,1.517526
120,11.605267,0.000000,1.515212
121,11.691072,0.000000,1.512899
122,11.774760,0.000000,1.511022
123,11.859560,0.000000,1.509410
124,11.958420,0.000000,1.506936
125,12.050599,0.000000,1.504391
126,12.140819,0.000000,1.502767
127,12.225368,0.000000,1.500627
128,12.310698,0.000000,1.498380
129,12.397234,0.000000,1.496792
130,12.482622,0.000000,1.495008
131,12.568894,0.000000,1.492693
132,12.653823,0.000000,1.490908
133,12.738003,0.000000,1.489354
134,12.833868,0.000000,1.487099
135,12.918890,0.000000,1.485647
136,13.015708,0.000000,1.483379
137,13.098894,0.000000,1.481835
138,13.196253,0.000000,1.479684
139,13.281884,0.000000,1.478163
140,13.365787,0.000000,1.476276
141,13.453579,0.000000,1.474341
142,13.539889,0.000000,1.473075
143,13.627262,0.000000,1.470957
144,13.716240,0.000000,1.469369
145,13.809664,0.000000,1.467180
146,13.904851,0.000000,1.465833
147,14.004301,0.000000,1.463957
148,14.089822,0.000000,1.461815
149,14.175864,0.000000,1.460572
150,14.269566,0.000000,1.458546
151,14.355966,0.000000,1.457256
152,14.455185,0.000000,1.455414
153,14.542808,0.000000,1.454090
154,14.641984,0.000000,1.452340
155,14.740906,0.000000,1.450636
156,14.846583,0.000000,1.448368
157,14.931340,0.000000,1.446768
158,15.018009,0.000000,1.445639
159,15.113901,0.000000,1.443763
160,15.211971,0.000000,1.441921
161,15.298698,0.000000,1.440896
162,15.386303,0.000000,1.439273
163,15.475175,0.000000,1.437707
164,15.562253,0.000000,1.436602
165,15.650246,0.000000,1.434541
166,15.737382,0.000000,1.433677
167,15.842498,0.000000,1.432077
168,15.941196,0.000000,1.430477
169,16.038584,0.000000,1.428819
170,16.136342,0.000000,1.427172
171,16.263196,0.000000,1.425422
172,16.370323,0.000000,1.423223
173,16.463530,0.000000,1.422268
174,16.549324,0.000000,1.420679
175,16.669129,0.000000,1.418872
176,16.757404,0.000000,1.417904
177,16.859687,0.000000,1.416477
178,16.956405,0.000000,1.414842
179,17.053315,0.000000,1.413265
180,17.145924,0.000000,1.412136
181,17.230876,0.000000,1.410640
182,17.316811,0.000000,1.409719
183,17.403647,0.000000,1.408671
184,17.490128,0.000000,1.406909
185,17.586363,0.000000,1.405896
186,17.672825,0.000000,1.404515
187,17.759489,0.000000,1.403755
188,17.863433,0.000000,1.402316
189,17.959711,0.000000,1.401072
190,18.059838,0.000000,1.399702
191,18.157149,0.000000,1.398401
192,18.254817,0.000000,1.396767
193,18.364754,0.000000,1.395626
194,18.456517,0.000000,1.394337
195,18.543170,0.000000,1.393416
196,18.630646,0.000000,1.391827
197,18.717914,0.000000,1.391090
198,18.805691,0.000000,1.389882
199,18.907986,0.000000,1.388489
200,19.014819,0.000000,1.387107
201,19.108462,0.000000,1.385979
202,19.208312,0.000000,1.384758
203,19.307758,0.000000,1.383584
204,19.434138,0.000000,1.382053
205,19.521834,0.000000,1.381373
206,19.611131,0.000000,1.379830
207,19.716878,0.000000,1.378817
208,19.820996,0.000000,1.377839
209,19.912287,0.000000,1.376239
210,20.001653,0.000000,1.375732
211,20.092055,0.000000,1.374143
212,20.179881,0.000000,1.373752
213,20.269784,0.000000,1.372163
214,20.357099,0.000000,1.371621
215,20.446042,0.000000,1.370482
216,20.549114,0.000000,1.369112
217,20.635134,0.000000,1.368237
218,20.715752,0.000000,1.367339
219,20.802949,0.000000,1.366626
220,20.884784,0.000000,1.365773
221,20.965945,0.000000,1.364817
222,21.058699,0.000000,1.363874
223,21.140047,0.000000,1.363160
224,21.220132,0.000000,1.362353
225,21.308457,0.000000,1.360938
226,21.391178,0.000000,1.359993
227,21.471966,0.000000,1.359073
228,21.555849,0.000000,1.358439
229,21.636140,0.000000,1.357633
230,21.716632,0.000000,1.356781
231,21.796697,0.000000,1.355976
232,21.879886,0.000000,1.355342
233,21.962160,0.000000,1.354502
234,22.045447,0.000000,1.353444
235,22.126932,0.000000,1.352442
236,22.216895,0.000000,1.351613
237,22.304991,0.000000,1.350910
238,22.395008,0.000000,1.349666
239,22.477358,0.000000,1.349044
240,22.558791,0.000000,1.348308
241,22.640433,0.000000,1.347675
242,22.722600,0.000000,1.346743
243,22.811015,0.000000,1.345350
244,22.891549,0.000000,1.344566
245,22.982802,0.000000,1.344072
246,23.072059,0.000000,1.342713
247,23.156152,0.000000,1.342160
248,23.237761,0.000000,1.341482
249,23.323774,0.000000,1.340675
250,23.408080,0.000000,1.339569
251,23.488558,0.000000,1.338718
252,23.570511,0.000000,1.337705
253,23.652657,0.000000,1.336911
254,23.737492,0.000000,1.336484
255,23.827307,0.000000,1.335424
256,23.912210,0.000000,1.334423
257,23.995305,0.000000,1.333721
258,24.078033,0.000000,1.333214
259,24.167318,0.000000,1.332120
260,24.251379,0.000000,1.331108
261,24.335068,0.000000,1.330452
262,24.419330,0.000000,1.329911
263,24.501629,0.000000,1.329254
264,24.584651,0.000000,1.328322
265,24.666622,0.000000,1.327457
266,24.761978,0.000000,1.326745
267,24.874517,0.000000,1.325315
268,24.959337,0.000000,1.324912
269,25.044871,0.000000,1.324062
270,25.127816,0.000000,1.322979
271,25.212836,0.000000,1.322069
272,25.296460,0.000000,1.321541
273,25.379620,0.000000,1.321089
274,25.464275,0.000000,1.320170
275,25.548526,0.000000,1.319168
276,25.634011,0.000000,1.318351
277,25.734032,0.000000,1.317407
278,25.831378,0.000000,1.316486
279,25.922797,0.000000,1.316176
280,26.015847,0.000000,1.315001
281,26.109273,0.000000,1.314102
282,26.201837,0.000000,1.313733
283,26.285660,0.000000,1.312858
284,26.378082,0.000000,1.312065
285,26.482267,0.000000,1.311295
286,26.579823,0.000000,1.310406
287,26.665925,0.000000,1.309476
288,26.753229,0.000000,1.308552
289,26.838849,0.000000,1.308093
290,26.938094,0.000000,1.307241
291,27.045911,0.000000,1.306343
292,27.141534,0.000000,1.305686
293,27.235269,0.000000,1.304558
294,27.326617,0.000000,1.303927
295,27.412165,0.000000,1.302981
296,27.498311,0.000000,1.302624
297,27.584819,0.000000,1.301978
298,27.674687,0.000000,1.300989
299,27.771216,0.000000,1.300045
300,27.870010,0.000000,1.299297
301,27.967415,0.000000,1.298699
302,28.084048,0.000000,1.298098
303,28.178332,0.000000,1.297214
304,28.275867,0.000000,1.296279
305,28.358214,0.000000,1.295843
306,28.442642,0.000000,1.295349
307,28.526888,0.000000,1.294461
308,28.610801,0.000000,1.293482
309,28.697706,0.000000,1.293206
310,28.783696,0.000000,1.292597
311,28.881120,0.000000,1.292031
312,28.973580,0.000000,1.290881
313,29.068481,0.000000,1.290212
314,29.157389,0.000000,1.289696
315,29.244453,0.000000,1.289166
316,29.331032,0.000000,1.288049
317,29.418333,0.000000,1.287819
318,29.536282,0.000000,1.286804
319,29.621009,0.000000,1.286484
320,29.706492,0.000000,1.285596
321,29.794021,0.000000,1.284618
322,29.878356,0.000000,1.284423
323,29.963271,0.000000,1.283880
324,30.049120,0.000000,1.282867
325,30.134684,0.000000,1.282179
326,30.221469,0.000000,1.281968
327,30.313841,0.000000,1.280830
328,30.400122,0.000000,1.280587
329,30.486282,0.000000,1.279806
330,30.572702,0.000000,1.278813
331,30.660214,0.000000,1.278619
332,30.753747,0.000000,1.277561
333,30.840648,0.000000,1.277262
334,30.926032,0.000000,1.276490
335,31.014491,0.000000,1.275511
336,31.102033,0.000000,1.275315
337,31.203330,0.000000,1.274545
338,31.290702,0.000000,1.273371
339,31.376631,0.000000,1.272887
340,31.463180,0.000000,1.272621
341,31.548400,0.000000,1.271492
342,31.634902,0.000000,1.270873
343,31.722543,0.000000,1.270594
344,31.808999,0.000000,1.269615
345,31.894024,0.000000,1.268889
346,31.979798,0.000000,1.268591
347,32.069538,0.000000,1.267590
348,32.169785,0.000000,1.266785
349,32.267722,0.000000,1.266241
350,32.354571,0.000000,1.265380
351,32.442782,0.000000,1.265149
352,32.533383,0.000000,1.263905
353,32.618487,0.000000,1.263766
354,32.724296,0.000000,1.263007
355,32.811951,0.000000,1.261878
356,32.899033,0.000000,1.261545
357,32.995147,0.000000,1.260590
358,33.094107,0.000000,1.259818
359,33.180717,0.000000,1.259553
360,33.280516,0.000000,1.258805
361,33.375779,0.000000,1.257667
362,33.463403,0.000000,1.257424
363,33.553690,0.000000,1.256307
364,33.652180,0.000000,1.255478
365,33.748209,0.000000,1.254935
366,33.844496,0.000000,1.254499
367,33.935742,0.000000,1.253476
368,34.024473,0.000000,1.253175
369,34.156380,0.000000,1.251874
370,34.253485,0.000000,1.250975
371,34.341683,0.000000,1.250815
372,34.430493,0.000000,1.249708
373,34.517147,0.000000,1.249203
374,34.605851,0.000000,1.248731
375,34.695996,0.000000,1.247833
376,34.782589,0.000000,1.247547
377,34.870735,0.000000,1.246384
378,34.957691,0.000000,1.246016
379,35.044913,0.000000,1.245565
380,35.138791,0.000000,1.244818
381,35.232707,0.000000,1.243770
382,35.331878,0.000000,1.243078
383,35.420001,0.000000,1.242846
384,35.518806,0.000000,1.242124
385,35.605396,0.000000,1.241524
386,35.693122,0.000000,1.240478
387,35.783165,0.000000,1.240429
388,35.873304,0.000000,1.239299
389,35.959411,0.000000,1.239105
390,36.049470,0.000000,1.238162
391,36.136634,0.000000,1.237611
392,36.242017,0.000000,1.237208
393,36.335201,0.000000,1.236205
394,36.422280,0.000000,1.236032
395,36.510472,0.000000,1.234951
396,36.598175,0.000000,1.234674
397,36.684744,0.000000,1.234225
398,36.770719,0.000000,1.233202
399,36.859516,0.000000,1.232970
400,36.948501,0.000000,1.232039
401,37.042631,0.000000,1.231865
402,37.132217,0.000000,1.230781
403,37.221526,0.000000,1.230702
404,37.310734,0.000000,1.229664
405,37.409075,0.000000,1.229180
406,37.510908,0.000000,1.228331
407,37.602939,0.000000,1.228251
408,37.699394,0.000000,1.227549
409,37.790141,0.000000,1.226662
410,37.880049,0.000000,1.226499
411,37.970343,0.000000,1.225498
412,38.091173,0.000000,1.224682
413,38.183818,0.000000,1.224649
414,38.274387,0.000000,1.223657
415,38.364650,0.000000,1.223564
416,38.457740,0.000000,1.222814
417,38.547836,0.000000,1.222263
418,38.639584,0.000000,1.221850
419,38.737225,0.000000,1.221126
420,38.839809,0.000000,1.220698
421,38.970330,0.000000,1.219514
422,39.061805,0.000000,1.219490
423,39.154602,0.000000,1.218603
424,39.246482,0.000000,1.218337
425,39.344886,0.000000,1.217832
426,39.445064,0.000000,1.217266
427,39.534400,0.000000,1.216458
428,39.626864,0.000000,1.216138
429,39.718828,0.000000,1.215758
430,39.808547,0.000000,1.215009
431,39.906704,0.000000,1.214608
432,39.999333,0.000000,1.214240
433,40.098938,0.000000,1.213664
434,40.187357,0.000000,1.213062
435,40.279865,0.000000,1.212776
436,40.371936,0.000000,1.211899
437,40.461737,0.000000,1.211901
438,40.556052,0.000000,1.211062
439,40.646334,0.000000,1.210705
440,40.740586,0.000000,1.210473
441,40.833659,0.000000,1.209506
442,40.926488,0.000000,1.209243
443,41.019349,0.000000,1.208896
444,41.103269,0.000000,1.208574
445,41.204443,0.000000,1.207917
446,41.296281,0.000000,1.207319
447,41.380277,0.000000,1.207133
448,41.465092,0.000000,1.206618
449,41.549984,0.000000,1.205843
450,41.647113,0.000000,1.205567
451,41.735059,0.000000,1.205028
452,41.848359,0.000000,1.204454
453,41.933941,0.000000,1.203970
454,42.019848,0.000000,1.203982
455,42.103674,0.000000,1.203577
456,42.188618,0.000000,1.202806
457,42.272803,0.000000,1.202287
458,42.357107,0.000000,1.202210
459,42.450747,0.000000,1.201401
460,42.548178,0.000000,1.201136
461,42.633697,0.000000,1.200631
462,42.738894,0.000000,1.200468
463,42.820744,0.000000,1.200194
464,42.922727,0.000000,1.199731
465,43.004830,0.000000,1.199271
466,43.087318,0.000000,1.198513
467,43.172032,0.000000,1.198050
468,43.255257,0.000000,1.197820
469,43.339487,0.000000,1.197797
470,43.424015,0.000000,1.197302
471,43.507687,0.000000,1.196646
472,43.592165,0.000000,1.196116
473,43.675832,0.000000,1.195992
474,43.760335,0.000000,1.195965
475,43.843097,0.000000,1.195427
476,43.942750,0.000000,1.195023
477,44.027006,0.000000,1.194388
478,44.124129,0.000000,1.194194
479,44.218893,0.000000,1.193791
480,44.306611,0.000000,1.193215
481,44.400390,0.000000,1.193100
482,44.495982,0.000000,1.192421
483,44.595093,0.000000,1.191912
484,44.686095,0.000000,1.191626
485,44.776701,0.000000,1.191419
486,44.877664,0.000000,1.190903
487,44.972263,0.000000,1.190154
488,45.113906,0.000000,1.189613
489,45.200185,0.000000,1.189625
490,45.283880,0.000000,1.189264
491,45.369392,0.000000,1.188473
492,45.454103,0.000000,1.188230
493,45.537570,0.000000,1.188151
494,45.621563,0.000000,1.187942
