Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Thu Aug 11 10:33:55 2022
Model,2450
Serial Number,04509830
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.071,s/pt
VRange:,2

Step #1 Settings
Current,1e-05,A
Duration,360,s

Step #1 Quick Stats
5065,points recorded,,0.36312272259,V average
0.018951416016,V minimum,,0.074887477181,V standard deviation
0.39549732208,V median,,360.01875836,s to run experiment
0.42311954498,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
1,0,1e-05,0.018951416016
2,0.07238,1e-05,0.086873054504
3,0.143794,1e-05,0.098651885986
4,0.214547,1e-05,0.10187578201
5,0.285636,1e-05,0.10645866394
6,0.356664,1e-05,0.10760974884
7,0.427726,1e-05,0.11043071747
8,0.498825,1e-05,0.11129426956
9,0.569876,1e-05,0.11332082748
10,0.640958,1e-05,0.11524391174
11,0.712019,1e-05,0.11564683914
12,0.783106,1e-05,0.11801862717
13,0.8542,1e-05,0.11779975891
14,0.925285,1e-05,0.12057495117
15,0.996323,1e-05,0.12036752701
16,1.06738,1e-05,0.12242841721
17,1.13848,1e-05,0.1225438118
18,1.20954,1e-05,0.12396001816
19,1.28061,1e-05,0.12523794174
20,1.35169,1e-05,0.12526130676
21,1.42277,1e-05,0.12721824646
22,1.49386,1e-05,0.12628602982
23,1.56492,1e-05,0.12866926193
24,1.63598,1e-05,0.12802457809
25,1.70707,1e-05,0.12994718552
26,1.77813,1e-05,0.12953281403
27,1.84919,1e-05,0.1305346489
28,1.92027,1e-05,0.13117933273
29,1.99136,1e-05,0.13111019135
30,2.06243,1e-05,0.13246870041
31,2.1335,1e-05,0.1312713623
32,2.20459,1e-05,0.13348197937
33,2.2757,1e-05,0.13234233856
34,2.34674,1e-05,0.13388538361
35,2.41781,1e-05,0.13277959824
36,2.48888,1e-05,0.13312530518
37,2.55995,1e-05,0.13358592987
38,2.63103,1e-05,0.13380432129
39,2.70211,1e-05,0.13523244858
40,2.77319,1e-05,0.13434553146
41,2.84426,1e-05,0.13662528992
42,2.91572,1e-05,0.13570451736
43,2.98642,1e-05,0.13735103607
44,3.05748,1e-05,0.13668298721
45,3.12857,1e-05,0.13761568069
46,3.19964,1e-05,0.13784599304
47,3.27073,1e-05,0.13773107529
48,3.34178,1e-05,0.13905477524
49,3.41287,1e-05,0.13792657852
50,3.48391,1e-05,0.14003372192
51,3.55499,1e-05,0.13867521286
52,3.62608,1e-05,0.14043664932
53,3.69716,1e-05,0.13974571228
54,3.76824,1e-05,0.14063262939
55,3.83931,1e-05,0.14070129395
56,3.91038,1e-05,0.14048290253
57,3.98145,1e-05,0.14174938202
58,4.05252,1e-05,0.1408624649
59,4.12359,1e-05,0.14254379272
60,4.19468,1e-05,0.14118528366
61,4.26578,1e-05,0.14291238785
62,4.33682,1e-05,0.14216375351
63,4.40788,1e-05,0.1430273056
64,4.47895,1e-05,0.14303874969
65,4.55005,1e-05,0.14280843735
66,4.62113,1e-05,0.14402914047
67,4.69222,1e-05,0.1430850029
68,4.76327,1e-05,0.1446852684
69,4.83436,1e-05,0.14340734482
70,4.90545,1e-05,0.14492702484
71,4.97649,1e-05,0.14407491684
72,5.04755,1e-05,0.14507675171
73,5.11864,1e-05,0.14482355118
74,5.1897,1e-05,0.14452409744
75,5.26076,1e-05,0.14562940598
76,5.33183,1e-05,0.14470863342
77,5.40293,1e-05,0.14619350433
78,5.47398,1e-05,0.14489269257
79,5.54506,1e-05,0.14619350433
80,5.61611,1e-05,0.14545679092
81,5.68722,1e-05,0.14635515213
82,5.75826,1e-05,0.14602088928
83,5.82933,1e-05,0.14561796188
84,5.90041,1e-05,0.14658498764
85,5.97148,1e-05,0.14566421509
86,6.04257,1e-05,0.14750623703
87,6.11364,1e-05,0.14612483978
88,6.18473,1e-05,0.14766740799
89,6.25584,1e-05,0.14676952362
90,6.32686,1e-05,0.14784002304
91,6.39793,1e-05,0.14756393433
92,6.46901,1e-05,0.14747190475
93,6.54008,1e-05,0.14842748642
94,6.61115,1e-05,0.14750623703
95,6.68223,1e-05,0.14937162399
96,6.7533,1e-05,0.14792108536
97,6.8244,1e-05,0.14942932129
98,6.89548,1e-05,0.14832401276
99,6.96652,1e-05,0.14947509766
100,7.03759,1e-05,0.14924478531
101,7.10868,1e-05,0.1493601799
102,7.17974,1e-05,0.15003967285
103,7.25084,1e-05,0.1493139267
104,7.32188,1e-05,0.15105247498
105,7.39298,1e-05,0.1493601799
106,7.46404,1e-05,0.15113306046
107,7.53512,1e-05,0.14983224869
108,7.60628,1e-05,0.15117931366
109,7.67734,1e-05,0.15084552765
110,7.7484,1e-05,0.1510643959
111,7.81946,1e-05,0.15162849426
112,7.89054,1e-05,0.15090322495
113,7.96164,1e-05,0.15253782272
114,8.03269,1e-05,0.15091466904
115,8.10378,1e-05,0.15269899368
116,8.17484,1e-05,0.15138673782
117,8.24598,1e-05,0.15269899368
118,8.31701,1e-05,0.1522154808
119,8.38809,1e-05,0.15249204636
120,8.45915,1e-05,0.15319442749
121,8.53024,1e-05,0.15236520767
122,8.60129,1e-05,0.15385055542
123,8.67238,1e-05,0.15241146088
124,8.74345,1e-05,0.15417289734
125,8.81454,1e-05,0.15291786194
126,8.88562,1e-05,0.15403461456
127,8.95667,1e-05,0.15360879898
128,9.02775,1e-05,0.15396595001
129,9.09883,1e-05,0.15463352203
130,9.16989,1e-05,0.15378141403
131,9.24099,1e-05,0.15510559082
132,9.31204,1e-05,0.15386199951
133,9.38315,1e-05,0.1556122303
134,9.45419,1e-05,0.15439176559
135,9.52528,1e-05,0.15552020073
136,9.59634,1e-05,0.15485239029
137,9.66743,1e-05,0.15534734726
138,9.7385,1e-05,0.15599226952
139,9.80959,1e-05,0.15517473221
140,9.88064,1e-05,0.1564412117
141,9.95173,1e-05,0.1552093029
142,10.0228,1e-05,0.15691328049
143,10.0939,1e-05,0.15579652786
144,10.1649,1e-05,0.15683269501
145,10.2361,1e-05,0.15610742569
146,10.3071,1e-05,0.15676379204
147,10.3782,1e-05,0.15739703178
148,10.4492,1e-05,0.15651035309
149,10.5203,1e-05,0.15779995918
150,10.5914,1e-05,0.156498909
151,10.6625,1e-05,0.1581454277
152,10.7336,1e-05,0.15704011917
153,10.8046,1e-05,0.1581454277
154,10.8757,1e-05,0.15737390518
155,10.9468,1e-05,0.15800714493
156,11.0179,1e-05,0.15851378441
157,11.089,1e-05,0.15781140327
158,11.16,1e-05,0.15917015076
159,11.2311,1e-05,0.15758109093
160,11.3022,1e-05,0.1594350338
161,11.3732,1e-05,0.15816831589
162,11.4443,1e-05,0.15955018997
163,11.5156,1e-05,0.15868663788
164,11.5865,1e-05,0.15927386284
165,11.6575,1e-05,0.15972280502
166,11.7286,1e-05,0.15919327736
167,11.7997,1e-05,0.16034460068
168,11.8708,1e-05,0.15874409676
