EMRE Device Manager: Cyclic Voltammetry

System Parameters
Date/Time,2022-08-25 18:34:37.017582


Source Parameters
Vertex 1,0.000000
Vertex 2,1.000000
# of Cycles,10
Raw Data
Voltage,Current,Seconds

0.000000,25.000000,0.000225
0.010101,27.000000,0.068080
0.020202,91.000000,0.142334
0.030303,2.000000,0.219763
0.040404,55.000000,0.312023
0.050505,34.000000,0.392131
0.060606,85.000000,0.466471
0.070707,24.000000,0.529587
0.080808,89.000000,0.597302
0.090909,57.000000,0.664054
0.101010,37.000000,0.731625
0.111111,3.000000,0.792877
0.121212,86.000000,0.855677
0.131313,6.000000,0.934152
0.141414,49.000000,0.998815
0.151515,24.000000,1.068477
0.161616,80.000000,1.134754
0.171717,52.000000,1.207640
0.181818,8.000000,1.274655
0.191919,30.000000,1.339883
0.202020,90.000000,1.419761
0.212121,17.000000,1.487020
0.222222,32.000000,1.590594
0.232323,89.000000,1.651219
0.242424,11.000000,1.713768
0.252525,55.000000,1.779975
0.262626,96.000000,1.851317
0.272727,24.000000,1.917225
0.282828,17.000000,1.982990
0.292929,38.000000,2.050135
0.303030,57.000000,2.130433
0.313131,9.000000,2.206077
0.323232,95.000000,2.270826
0.333333,30.000000,2.339697
0.343434,51.000000,2.413821
0.353535,46.000000,2.480435
0.363636,71.000000,2.549524
0.373737,95.000000,2.620204
0.383838,8.000000,2.693309
0.393939,50.000000,2.764302
0.404040,81.000000,2.854235
0.414141,34.000000,2.924478
0.424242,67.000000,2.996048
0.434343,39.000000,3.063871
0.444444,50.000000,3.126264
0.454545,7.000000,3.188521
0.464646,94.000000,3.262809
0.474747,18.000000,3.332351
0.484848,5.000000,3.403145
0.494949,42.000000,3.487420
0.505051,64.000000,3.555867
0.515152,1.000000,3.619625
0.525253,55.000000,3.684070
0.535354,94.000000,3.769909
0.545455,37.000000,3.833660
0.555556,33.000000,3.907699
0.565657,5.000000,4.008370
0.575758,12.000000,4.077885
0.585859,2.000000,4.149967
0.595960,54.000000,4.217352
0.606061,23.000000,4.286691
0.616162,92.000000,4.353784
0.626263,100.000000,4.423805
0.636364,7.000000,4.495610
0.646465,9.000000,4.562458
0.656566,2.000000,4.630296
0.666667,46.000000,4.700523
0.676768,55.000000,4.766627
0.686869,70.000000,4.833575
0.696970,24.000000,4.907582
0.707071,74.000000,4.974895
0.717172,54.000000,5.054054
0.727273,17.000000,5.123745
0.737374,13.000000,5.208143
0.747475,18.000000,5.290238
0.757576,4.000000,5.364225
0.767677,46.000000,5.445335
0.777778,48.000000,5.526754
0.787879,91.000000,5.597785
0.797980,53.000000,5.667233
0.808081,11.000000,5.743312
0.818182,49.000000,5.815434
0.828283,2.000000,5.896199
0.838384,58.000000,5.966850
0.848485,61.000000,6.032993
0.858586,14.000000,6.099428
0.868687,53.000000,6.162507
0.878788,23.000000,6.242812
0.888889,69.000000,6.315014
0.898990,54.000000,6.396125
0.909091,59.000000,6.472150
0.919192,50.000000,6.546448
0.929293,35.000000,6.611641
0.939394,60.000000,6.676035
0.949495,62.000000,6.744553
0.959596,63.000000,6.818065
0.969697,47.000000,6.884024
0.979798,12.000000,6.957971
0.989899,60.000000,7.032614
1.000000,37.000000,7.108587
1.000000,8.000000,7.175474
0.989899,13.000000,7.242031
0.979798,95.000000,7.308448
0.969697,23.000000,7.379405
0.959596,92.000000,7.448466
0.949495,51.000000,7.514152
0.939394,17.000000,7.586735
0.929293,64.000000,7.652337
0.919192,4.000000,7.717020
0.909091,26.000000,7.788474
0.898990,63.000000,7.863263
0.888889,100.000000,7.929575
0.878788,5.000000,8.000868
0.868687,91.000000,8.076209
0.858586,34.000000,8.164053
0.848485,85.000000,8.239468
0.838384,41.000000,8.336222
0.828283,28.000000,8.410799
0.818182,18.000000,8.482374
0.808081,25.000000,8.549344
0.797980,68.000000,8.635696
0.787879,33.000000,8.702151
0.777778,2.000000,8.767177
0.767677,77.000000,8.833232
0.757576,18.000000,8.917853
0.747475,33.000000,8.984919
0.737374,15.000000,9.059393
0.727273,16.000000,9.128747
0.717172,37.000000,9.194059
0.707071,57.000000,9.259358
0.696970,56.000000,9.339851
0.686869,100.000000,9.405839
0.676768,77.000000,9.479302
0.666667,59.000000,9.547132
0.656566,34.000000,9.613154
0.646465,75.000000,9.680762
0.636364,62.000000,9.753617
0.626263,20.000000,9.820980
0.616162,80.000000,9.895193
0.606061,10.000000,9.975161
0.595960,29.000000,10.040895
0.585859,99.000000,10.119283
0.575758,96.000000,10.188596
0.565657,57.000000,10.256440
0.555556,50.000000,10.324181
0.545455,43.000000,10.411803
0.535354,32.000000,10.480261
0.525253,72.000000,10.552537
0.515152,66.000000,10.633339
0.505051,43.000000,10.699534
0.494949,40.000000,10.766493
0.484848,67.000000,10.839507
0.474747,42.000000,10.907852
0.464646,4.000000,10.975724
0.454545,35.000000,11.045425
0.444444,84.000000,11.114396
0.434343,93.000000,11.180655
0.424242,61.000000,11.251897
0.414141,64.000000,11.317916
0.404040,7.000000,11.394436
0.393939,77.000000,11.465340
0.383838,37.000000,11.546089
0.373737,66.000000,11.633166
0.363636,62.000000,11.700088
0.353535,8.000000,11.767088
0.343434,24.000000,11.834887
0.333333,49.000000,11.911109
0.323232,52.000000,11.979738
0.313131,26.000000,12.055341
0.303030,5.000000,12.125893
0.292929,84.000000,12.206986
0.282828,8.000000,12.282029
0.272727,25.000000,12.375485
