EMRE Device Manager: Cyclic Voltammetry

System Parameters
Date/Time,2022-08-31 16:21:18.294150


Source Parameters
Vertex 1,0.100000
Vertex 2,0.999000
# of Cycles,2
Raw Data
Voltage,Current,Seconds

0.100000,0.000001,0.009783
0.107079,0.000001,0.123960
0.114157,0.000001,0.222527
0.121236,0.000001,0.309790
0.128315,0.000001,0.383138
0.135394,0.000001,0.455102
0.142472,0.000002,0.532473
0.149551,0.000002,0.601148
0.156630,0.000002,0.670498
0.163709,0.000002,0.746612
0.170787,0.000002,0.826626
0.177866,0.000002,0.914994
0.184945,0.000002,0.996342
0.192024,0.000003,1.089743
0.199102,0.000003,1.163262
0.206181,0.000003,1.240710
0.213260,0.000003,1.322206
0.220339,0.000003,1.408903
0.227417,0.000004,1.484216
0.234496,0.000004,1.559077
0.241575,0.000004,1.643832
0.248654,0.000004,1.725838
0.255732,0.000004,1.802429
0.262811,0.000004,1.881184
0.269890,0.000004,1.966201
0.276969,0.000005,2.069815
0.284047,0.000005,2.157228
0.291126,0.000005,2.241676
0.298205,0.000005,2.323568
0.305283,0.000005,2.402250
0.312362,0.000005,2.484309
0.319441,0.000005,2.565034
0.326520,0.000006,2.634668
0.333598,0.000006,2.706553
0.340677,0.000006,2.823978
0.347756,0.000006,2.905437
0.354835,0.000006,2.979311
0.361913,0.000006,3.051152
0.368992,0.000006,3.129286
0.376071,0.000007,3.209004
0.383150,0.000007,3.292555
0.390228,0.000007,3.364893
0.397307,0.000007,3.452284
0.404386,0.000007,3.534378
0.411465,0.000007,3.607948
0.418543,0.000007,3.689485
0.425622,0.000007,3.775229
0.432701,0.000008,3.851826
0.439780,0.000008,3.928526
0.446858,0.000008,4.009449
0.453937,0.000008,4.087711
0.461016,0.000008,4.177323
0.468094,0.000008,4.258546
0.475173,0.000009,4.341761
0.482252,0.000009,4.420777
0.489331,0.000009,4.506533
0.496409,0.000009,4.587892
0.503488,0.000009,4.668063
0.510567,0.000009,4.740295
0.517646,0.000009,4.809315
0.524724,0.000010,4.876631
0.531803,0.000010,4.948850
0.538882,0.000010,5.019353
0.545961,0.000010,5.096778
0.553039,0.000010,5.165513
0.560118,0.000010,5.242327
0.567197,0.000011,5.312282
0.574276,0.000011,5.380621
0.581354,0.000011,5.457957
0.588433,0.000011,5.530932
0.595512,0.000011,5.611938
0.602591,0.000011,5.693550
0.609669,0.000011,5.772079
0.616748,0.000012,5.846925
0.623827,0.000012,5.918398
0.630906,0.000012,5.991529
0.637984,0.000012,6.074947
0.645063,0.000012,6.158649
0.652142,0.000012,6.230992
0.659220,0.000012,6.304894
0.666299,0.000013,6.398938
0.673378,0.000013,6.480496
0.680457,0.000013,6.567313
0.687535,0.000013,6.651657
0.694614,0.000013,6.724147
0.701693,0.000013,6.807113
0.708772,0.000013,6.886430
0.715850,0.000014,6.967030
0.722929,0.000014,7.061097
0.730008,0.000014,7.136988
0.737087,0.000014,7.211440
0.744165,0.000014,7.285568
0.751244,0.000014,7.360921
0.758323,0.000014,7.467983
0.765402,0.000014,7.550485
0.772480,0.000014,7.630670
0.779559,0.000015,7.729793
0.786638,0.000015,7.807745
0.793717,0.000015,7.882338
0.800795,0.000015,7.958139
0.807874,0.000015,8.036342
0.814953,0.000015,8.112703
0.822031,0.000016,8.192596
0.829110,0.000016,8.271153
0.836189,0.000016,8.360548
0.843268,0.000016,8.439385
0.850346,0.000016,8.518036
0.857425,0.000016,8.603340
0.864504,0.000016,8.685174
0.871583,0.000016,8.781948
0.878661,0.000016,8.863370
0.885740,0.000017,8.944006
0.892819,0.000017,9.022381
0.899898,0.000017,9.103469
0.906976,0.000017,9.187176
0.914055,0.000017,9.267204
0.921134,0.000017,9.348917
0.928213,0.000017,9.425189
0.935291,0.000018,9.497348
0.942370,0.000018,9.572502
0.949449,0.000018,9.643074
0.956528,0.000018,9.717122
0.963606,0.000018,9.796080
0.970685,0.000018,9.871836
0.977764,0.000019,9.945899
0.984843,0.000019,10.020715
0.991921,0.000019,10.093692
0.999000,0.000019,10.166206
0.999000,0.000019,10.240943
0.991921,0.000018,10.312841
0.984843,0.000018,10.387106
0.977764,0.000017,10.460280
0.970685,0.000017,10.533225
0.963606,0.000016,10.610302
0.956528,0.000016,10.694084
0.949449,0.000015,10.780349
0.942370,0.000015,10.869549
0.935291,0.000015,10.947667
0.928213,0.000014,11.020256
0.921134,0.000014,11.092957
0.914055,0.000014,11.165826
0.906976,0.000013,11.245118
0.899898,0.000013,11.319777
0.892819,0.000013,11.397507
0.885740,0.000012,11.472052
0.878661,0.000012,11.545656
0.871583,0.000012,11.653281
