EMRE Device Manager: Cyclic Voltammetry

System Parameters
Date/Time,2022-08-31 17:13:59.695217


Source Parameters
Vertex 1,0.000000
Vertex 2,6.000000
# of Cycles,3
Raw Data
Voltage,Current,Seconds

0.000000,-0.000056,0.093717
0.047244,-0.000052,0.258851
0.094488,-0.000048,0.424294
0.141732,-0.000045,0.591949
0.188976,-0.000041,0.759905
0.236220,-0.000038,0.936935
0.283465,-0.000035,1.104908
0.330709,-0.000032,1.274738
0.377953,-0.000029,1.437351
0.425197,-0.000026,1.611680
0.472441,-0.000023,1.774045
0.519685,-0.000021,1.937052
0.566929,-0.000018,2.116040
0.614173,-0.000016,2.293091
0.661417,-0.000013,2.462835
0.708661,-0.000011,2.627014
0.755906,-0.000009,2.795563
0.803150,-0.000006,2.969970
0.850394,-0.000004,3.133636
0.897638,-0.000002,3.293321
0.944882,0.000000,3.451488
0.992126,0.000002,3.645350
1.039370,0.000004,3.807605
1.086614,0.000007,3.968274
1.133858,0.000009,4.129700
1.181102,0.000011,4.304134
1.228346,0.000013,4.467070
1.275591,0.000015,4.630588
1.322835,0.000018,4.793229
1.370079,0.000020,4.962311
1.417323,0.000023,5.142781
1.464567,0.000025,5.310666
1.511811,0.000028,5.479732
1.559055,0.000032,5.649985
1.606299,0.000036,5.814818
1.653543,0.000040,5.992529
1.700787,0.000045,6.156181
1.748031,0.000050,6.326844
1.795276,0.000056,6.495575
1.842520,0.000063,6.660014
1.889764,0.000071,6.831174
1.937008,0.000079,7.009212
1.984252,0.000088,7.180037
2.031496,0.000098,7.347776
2.078740,0.000100,7.523732
2.125984,0.000100,7.691257
2.173228,0.000100,7.861841
2.220472,0.000100,8.035005
2.267717,0.000100,8.224702
2.314961,0.000100,8.397405
2.362205,0.000100,8.562467
2.409449,0.000100,8.727532
2.456693,0.000100,8.893394
2.503937,0.000100,9.060019
2.551181,0.000100,9.233133
2.598425,0.000100,9.398427
2.645669,0.000100,9.564864
2.692913,0.000100,9.729939
2.740157,0.000100,9.902627
2.787402,0.000100,10.068708
2.834646,0.000100,10.237578
2.881890,0.000100,10.410477
2.929134,0.000100,10.578975
2.976378,0.000100,10.756840
3.023622,0.000100,10.931770
3.070866,0.000100,11.104871
3.118110,0.000100,11.273014
3.165354,0.000100,11.450209
3.212598,0.000100,11.625437
3.259843,0.000100,11.812053
3.307087,0.000100,11.979120
3.354331,0.000100,12.147137
3.401575,0.000100,12.324401
3.448819,0.000100,12.527564
3.496063,0.000100,12.698512
3.543307,0.000100,12.867360
