EMRE Device Manager: Cyclic Voltammetry

System Parameters
Date/Time,2022-08-25 15:38:45.260744


Source Parameters
Vertex 1,-0.050000
Vertex 2,0.900000
Raw Data
Voltage,Current,Seconds

-0.050000,99.000000,0.000213
-0.040404,78.000000,0.070437
-0.030808,40.000000,0.135374
-0.021212,97.000000,0.233740
-0.011616,29.000000,0.325948
-0.002020,23.000000,0.417816
0.007576,17.000000,0.495973
0.017172,64.000000,0.559612
0.026768,40.000000,0.647998
0.036364,13.000000,0.726134
0.045960,87.000000,0.788747
0.055556,62.000000,0.848617
0.065152,33.000000,0.917277
0.074747,40.000000,0.994323
0.084343,38.000000,1.059225
0.093939,2.000000,1.129676
0.103535,58.000000,1.248162
0.113131,81.000000,1.317828
0.122727,77.000000,1.389453
0.132323,89.000000,1.468319
0.141919,62.000000,1.538832
0.151515,24.000000,1.610280
0.161111,58.000000,1.680286
0.170707,51.000000,1.746617
0.180303,57.000000,1.816060
0.189899,1.000000,1.879270
0.199495,90.000000,1.952674
0.209091,5.000000,2.017044
0.218687,4.000000,2.081243
0.228283,38.000000,2.143708
0.237879,23.000000,2.215278
0.247475,11.000000,2.281089
0.257071,68.000000,2.346367
0.266667,8.000000,2.414291
0.276263,95.000000,2.486051
0.285859,70.000000,2.550683
0.295455,57.000000,2.622837
0.305051,88.000000,2.696378
0.314646,86.000000,2.765111
0.324242,21.000000,2.834264
0.333838,19.000000,2.904279
0.343434,58.000000,2.972610
0.353030,56.000000,3.061314
0.362626,97.000000,3.132373
0.372222,100.000000,3.198948
0.381818,85.000000,3.260169
0.391414,78.000000,3.329442
0.401010,46.000000,3.396204
0.410606,91.000000,3.459115
0.420202,88.000000,3.533089
0.429798,69.000000,3.597815
0.439394,38.000000,3.660096
0.448990,60.000000,3.732319
0.458586,23.000000,3.817823
0.468182,20.000000,3.879471
0.477778,89.000000,3.944990
0.487374,97.000000,4.014032
0.496970,72.000000,4.090318
0.506566,83.000000,4.161213
0.516162,2.000000,4.260385
0.525758,53.000000,4.328467
0.535354,58.000000,4.403155
0.544949,64.000000,4.481232
0.554545,12.000000,4.544963
0.564141,20.000000,4.630168
0.573737,3.000000,4.700473
0.583333,83.000000,4.768220
0.592929,58.000000,4.858914
0.602525,87.000000,4.925335
0.612121,25.000000,4.998640
0.621717,47.000000,5.064690
0.631313,24.000000,5.129896
0.640909,3.000000,5.208784
0.650505,26.000000,5.288191
0.660101,100.000000,5.355485
0.669697,44.000000,5.424213
0.679293,74.000000,5.494388
0.688889,38.000000,5.562416
0.698485,13.000000,5.638325
0.708081,12.000000,5.727506
0.717677,25.000000,5.797159
0.727273,62.000000,5.875366
0.736869,49.000000,5.942006
0.746465,92.000000,6.009667
0.756061,80.000000,6.076297
0.765657,90.000000,6.150346
0.775253,13.000000,6.222803
0.784848,19.000000,6.295055
0.794444,26.000000,6.358992
0.804040,46.000000,6.432185
0.813636,6.000000,6.502633
0.823232,57.000000,6.571519
0.832828,22.000000,6.636587
0.842424,44.000000,6.698901
0.852020,1.000000,6.776576
0.861616,15.000000,6.855976
0.871212,17.000000,6.918868
0.880808,41.000000,6.988729
0.890404,20.000000,7.054563
0.900000,49.000000,7.123219
0.900000,57.000000,7.188883
0.890404,37.000000,7.259956
0.880808,92.000000,7.322836
0.871212,15.000000,7.387157
0.861616,8.000000,7.473456
0.852020,14.000000,7.536171
0.842424,99.000000,7.605389
0.832828,92.000000,7.675359
0.823232,98.000000,7.749608
0.813636,7.000000,7.814859
0.804040,57.000000,7.885465
0.794444,34.000000,7.953564
0.784848,82.000000,8.019264
0.775253,47.000000,8.082257
0.765657,72.000000,8.154848
0.756061,37.000000,8.221364
0.746465,42.000000,8.321208
0.736869,49.000000,8.390979
0.727273,32.000000,8.453982
0.717677,35.000000,8.517082
0.708081,9.000000,8.585289
0.698485,40.000000,8.659936
0.688889,90.000000,8.723628
0.679293,11.000000,8.788618
0.669697,6.000000,8.851845
0.660101,73.000000,8.932130
0.650505,96.000000,8.997970
0.640909,73.000000,9.060969
0.631313,68.000000,9.124411
0.621717,84.000000,9.198227
0.612121,4.000000,9.261634
0.602525,95.000000,9.333126
0.592929,80.000000,9.395671
0.583333,55.000000,9.474060
0.573737,10.000000,9.538021
0.564141,35.000000,9.604232
0.554545,8.000000,9.667919
0.544949,40.000000,9.747935
0.535354,23.000000,9.817209
0.525758,38.000000,9.880552
0.516162,61.000000,9.944375
0.506566,83.000000,10.016296
0.496970,0.000000,10.079957
0.487374,36.000000,10.143897
0.477778,32.000000,10.210936
0.468182,13.000000,10.300074
0.458586,33.000000,10.375059
0.448990,75.000000,10.441958
0.439394,70.000000,10.554447
0.429798,17.000000,10.668142
0.420202,67.000000,10.777499
0.410606,66.000000,10.845314
0.401010,70.000000,10.916740
0.391414,41.000000,11.002506
0.381818,77.000000,11.080824
0.372222,16.000000,11.159882
0.362626,1.000000,11.238519
0.353030,46.000000,11.305948
0.343434,90.000000,11.378061
0.333838,84.000000,11.462486
0.324242,40.000000,11.537017
0.314646,32.000000,11.608442
0.305051,97.000000,11.687916
0.295455,23.000000,11.770363
0.285859,61.000000,11.872374
0.276263,65.000000,11.944747
0.266667,20.000000,12.014941
0.257071,68.000000,12.081473
0.247475,27.000000,12.145296
0.237879,4.000000,12.222254
0.228283,84.000000,12.289379
0.218687,76.000000,12.357459
0.209091,36.000000,12.438760
0.199495,88.000000,12.509330
0.189899,52.000000,12.587854
0.180303,75.000000,12.685600
0.170707,69.000000,12.824098
0.161111,37.000000,12.919008
0.151515,56.000000,13.016804
0.141919,23.000000,13.162529
0.132323,32.000000,13.294394
0.122727,20.000000,13.434747
0.113131,85.000000,13.549436
0.103535,3.000000,13.664834
0.093939,75.000000,13.806218
0.084343,68.000000,13.940937
0.074747,82.000000,14.038076
0.065152,79.000000,14.175195
0.055556,20.000000,14.270257
0.045960,78.000000,14.365654
0.036364,67.000000,14.461741
0.026768,94.000000,14.552947
0.017172,8.000000,14.630629
0.007576,11.000000,14.738462
-0.002020,10.000000,14.818810
-0.011616,15.000000,14.893096
-0.021212,33.000000,15.001843
-0.030808,70.000000,15.140247
-0.040404,82.000000,15.275182
-0.050000,55.000000,15.410477
