EMRE Device Manager: Cyclic Voltammetry

System Parameters
Date/Time,2022-08-25 16:06:16.284005


Source Parameters
Vertex 1,-0.050000
Vertex 2,0.900000
# of Cycles,6.000000
Raw Data
Voltage,Current,Seconds

-0.050000,60.000000,0.000223
-0.040404,10.000000,0.068792
-0.030808,16.000000,0.068814
-0.021212,82.000000,0.068826
-0.011616,53.000000,0.068837
-0.002020,47.000000,0.068848
0.007576,7.000000,0.138823
0.017172,83.000000,0.138845
0.026768,10.000000,0.138857
0.036364,10.000000,0.138868
0.045960,79.000000,0.138879
0.055556,88.000000,0.205451
0.065152,5.000000,0.205473
0.074747,47.000000,0.205484
0.084343,12.000000,0.205494
0.093939,44.000000,0.205504
0.103535,46.000000,0.286845
0.113131,71.000000,0.286867
0.122727,24.000000,0.286880
0.132323,8.000000,0.286900
0.141919,99.000000,0.286920
0.151515,48.000000,0.364373
0.161111,32.000000,0.364396
0.170707,88.000000,0.364408
0.180303,31.000000,0.364419
0.189899,95.000000,0.364431
0.199495,91.000000,0.436758
0.209091,52.000000,0.436796
0.218687,6.000000,0.436817
0.228283,71.000000,0.436839
0.237879,68.000000,0.436861
0.247475,96.000000,0.547155
0.257071,37.000000,0.547179
0.266667,80.000000,0.547191
0.276263,43.000000,0.547201
0.285859,77.000000,0.547212
0.295455,97.000000,0.617199
0.305051,43.000000,0.617222
0.314646,10.000000,0.617233
0.324242,36.000000,0.617244
0.333838,24.000000,0.617255
0.343434,52.000000,0.700396
0.353030,37.000000,0.700435
0.362626,40.000000,0.700458
0.372222,95.000000,0.700480
0.381818,80.000000,0.700501
0.391414,88.000000,0.774010
0.401010,32.000000,0.774049
0.410606,39.000000,0.774072
0.420202,38.000000,0.774095
0.429798,36.000000,0.774118
0.439394,14.000000,0.836104
0.448990,88.000000,0.836145
0.458586,94.000000,0.836168
0.468182,88.000000,0.836189
0.477778,98.000000,0.836212
0.487374,26.000000,0.900317
0.496970,1.000000,0.900353
0.506566,14.000000,0.900376
0.516162,68.000000,0.900399
0.525758,44.000000,0.900420
0.535354,75.000000,0.982744
0.544949,23.000000,0.982783
0.554545,93.000000,0.982806
0.564141,10.000000,0.982829
0.573737,24.000000,0.982850
0.583333,13.000000,1.053943
0.592929,31.000000,1.053965
0.602525,44.000000,1.053977
0.612121,29.000000,1.053987
0.621717,1.000000,1.053997
0.631313,9.000000,1.123701
0.640909,90.000000,1.123735
0.650505,1.000000,1.123758
0.660101,42.000000,1.123779
0.669697,59.000000,1.123800
0.679293,18.000000,1.214126
0.688889,80.000000,1.214169
0.698485,100.000000,1.214194
0.708081,7.000000,1.214216
0.717677,55.000000,1.214239
0.727273,45.000000,1.280957
0.736869,5.000000,1.280995
0.746465,23.000000,1.281019
0.756061,10.000000,1.281041
0.765657,56.000000,1.281064
0.775253,68.000000,1.371119
0.784848,50.000000,1.371155
0.794444,10.000000,1.371178
0.804040,31.000000,1.371199
0.813636,9.000000,1.371219
0.823232,80.000000,1.450410
0.832828,98.000000,1.450438
0.842424,64.000000,1.450450
0.852020,58.000000,1.450460
0.861616,18.000000,1.450472
0.871212,48.000000,1.521280
0.880808,89.000000,1.521320
0.890404,22.000000,1.521346
0.900000,65.000000,1.521377
0.900000,68.000000,1.521399
0.890404,45.000000,1.586996
0.880808,14.000000,1.587022
0.871212,100.000000,1.587049
0.861616,8.000000,1.587064
0.852020,66.000000,1.587079
0.842424,50.000000,1.674412
0.832828,13.000000,1.674466
0.823232,95.000000,1.674496
0.813636,66.000000,1.674525
0.804040,28.000000,1.674547
0.794444,65.000000,1.748249
0.784848,77.000000,1.748273
0.775253,23.000000,1.748284
0.765657,4.000000,1.748295
0.756061,84.000000,1.748305
0.746465,86.000000,1.821243
0.736869,57.000000,1.821308
0.727273,80.000000,1.821327
0.717677,0.000000,1.821343
0.708081,4.000000,1.821356
0.698485,10.000000,1.905204
0.688889,36.000000,1.905225
0.679293,74.000000,1.905237
0.669697,9.000000,1.905248
0.660101,46.000000,1.905260
0.650505,38.000000,1.976169
0.640909,15.000000,1.976200
0.631313,50.000000,1.976222
0.621717,52.000000,1.976241
0.612121,6.000000,1.976257
0.602525,10.000000,2.051680
0.592929,82.000000,2.051708
0.583333,91.000000,2.051723
0.573737,66.000000,2.051738
0.564141,54.000000,2.051753
0.554545,69.000000,2.144706
0.544949,91.000000,2.144731
0.535354,29.000000,2.144743
0.525758,90.000000,2.144755
0.516162,15.000000,2.144767
0.506566,68.000000,2.222224
0.496970,50.000000,2.222247
0.487374,34.000000,2.222259
0.477778,41.000000,2.222269
0.468182,60.000000,2.222280
0.458586,15.000000,2.293249
0.448990,11.000000,2.293289
0.439394,38.000000,2.293323
0.429798,97.000000,2.293349
0.420202,0.000000,2.293371
0.410606,84.000000,2.375808
0.401010,52.000000,2.375833
0.391414,59.000000,2.375845
0.381818,12.000000,2.375856
0.372222,93.000000,2.375869
0.362626,32.000000,2.443672
0.353030,40.000000,2.443695
0.343434,93.000000,2.443707
0.333838,51.000000,2.443718
0.324242,45.000000,2.443729
0.314646,29.000000,2.520305
0.305051,40.000000,2.520348
0.295455,5.000000,2.520372
0.285859,15.000000,2.520394
0.276263,63.000000,2.520414
0.266667,44.000000,2.615341
0.257071,4.000000,2.615398
0.247475,35.000000,2.615438
0.237879,84.000000,2.615477
0.228283,60.000000,2.615511
0.218687,47.000000,2.690932
0.209091,9.000000,2.690961
0.199495,59.000000,2.690974
0.189899,7.000000,2.690984
0.180303,5.000000,2.690995
0.170707,34.000000,2.767050
0.161111,78.000000,2.767155
0.151515,51.000000,2.767196
0.141919,2.000000,2.767215
0.132323,75.000000,2.767231
0.122727,53.000000,2.847916
0.113131,68.000000,2.847955
0.103535,25.000000,2.847980
0.093939,68.000000,2.848001
0.084343,15.000000,2.848022
0.074747,48.000000,2.913826
0.065152,3.000000,2.913869
0.055556,24.000000,2.913894
0.045960,47.000000,2.913924
0.036364,53.000000,2.913946
0.026768,62.000000,2.981152
0.017172,89.000000,2.981191
0.007576,75.000000,2.981213
-0.002020,79.000000,2.981235
-0.011616,37.000000,2.981256
-0.021212,27.000000,3.068610
-0.030808,52.000000,3.068669
-0.040404,92.000000,3.068692
-0.050000,10.000000,3.068717
-0.050000,48.000000,3.068770
-0.040404,36.000000,3.145452
-0.030808,99.000000,3.145496
-0.021212,23.000000,3.145525
-0.011616,51.000000,3.145552
-0.002020,49.000000,3.145579
0.007576,71.000000,3.222979
0.017172,25.000000,3.223001
0.026768,36.000000,3.223013
0.036364,80.000000,3.223024
0.045960,69.000000,3.223034
0.055556,54.000000,3.306964
0.065152,22.000000,3.306992
0.074747,97.000000,3.307005
0.084343,73.000000,3.307015
0.093939,48.000000,3.307026
0.103535,21.000000,3.388932
0.113131,71.000000,3.388986
0.122727,41.000000,3.389020
0.132323,83.000000,3.389051
0.141919,56.000000,3.389082
0.151515,6.000000,3.483704
0.161111,15.000000,3.483769
0.170707,2.000000,3.483785
0.180303,39.000000,3.483800
0.189899,80.000000,3.483816
0.199495,62.000000,3.609223
0.209091,47.000000,3.609271
0.218687,65.000000,3.609293
0.228283,62.000000,3.609314
0.237879,20.000000,3.609336
0.247475,15.000000,3.679314
0.257071,22.000000,3.679354
0.266667,0.000000,3.679378
0.276263,23.000000,3.679398
0.285859,37.000000,3.679418
0.295455,44.000000,3.795852
0.305051,63.000000,3.795884
0.314646,35.000000,3.795905
0.324242,54.000000,3.795926
0.333838,96.000000,3.795945
0.343434,98.000000,3.909421
0.353030,7.000000,3.909454
0.362626,14.000000,3.909475
0.372222,88.000000,3.909495
0.381818,1.000000,3.909514
0.391414,27.000000,4.025162
0.401010,2.000000,4.025182
0.410606,9.000000,4.025193
0.420202,62.000000,4.025204
0.429798,59.000000,4.025214
0.439394,57.000000,4.130061
0.448990,76.000000,4.130081
0.458586,77.000000,4.130092
0.468182,83.000000,4.130102
0.477778,47.000000,4.130111
0.487374,52.000000,4.214239
0.496970,91.000000,4.214272
0.506566,12.000000,4.214293
0.516162,73.000000,4.214312
0.525758,46.000000,4.214329
0.535354,80.000000,4.300826
0.544949,51.000000,4.300855
0.554545,92.000000,4.300874
0.564141,65.000000,4.300886
0.573737,96.000000,4.300896
0.583333,72.000000,4.377864
0.592929,72.000000,4.377899
0.602525,10.000000,4.377927
0.612121,33.000000,4.377950
0.621717,48.000000,4.377972
0.631313,75.000000,4.458036
0.640909,45.000000,4.458056
0.650505,83.000000,4.458066
0.660101,32.000000,4.458075
0.669697,6.000000,4.458085
0.679293,77.000000,4.536874
0.688889,61.000000,4.536900
0.698485,72.000000,4.536912
0.708081,15.000000,4.536924
0.717677,24.000000,4.536935
0.727273,76.000000,4.628023
0.736869,87.000000,4.628060
0.746465,81.000000,4.628083
0.756061,60.000000,4.628103
0.765657,59.000000,4.628125
0.775253,60.000000,4.697656
0.784848,98.000000,4.697692
0.794444,60.000000,4.697713
0.804040,2.000000,4.697732
0.813636,5.000000,4.697751
0.823232,83.000000,4.772514
0.832828,94.000000,4.772547
0.842424,87.000000,4.772559
0.852020,9.000000,4.772570
0.861616,87.000000,4.772581
0.871212,85.000000,4.862873
0.880808,48.000000,4.862901
0.890404,30.000000,4.862914
0.900000,7.000000,4.862924
0.900000,87.000000,4.862935
0.890404,68.000000,4.932785
0.880808,81.000000,4.932812
0.871212,93.000000,4.932824
0.861616,8.000000,4.932834
0.852020,69.000000,4.932845
0.842424,88.000000,5.018358
0.832828,27.000000,5.018396
0.823232,51.000000,5.018426
0.813636,28.000000,5.018451
0.804040,63.000000,5.018470
