EMRE Device Manager: Chronopotentiometry

System Parameters
Date/Time,2022-08-25 18:19:05.517595


Raw Data

Data Pt,Times (s), Current (A), Potential (V)
0,0.000190,0.000010,0.613000
1,0.081288,0.000010,0.564000
2,0.152136,0.000010,0.180000
3,0.219674,0.000010,0.570000
4,0.300318,0.000010,0.167000
5,0.370094,0.000010,0.296000
6,0.434725,0.000010,0.122000
7,0.505644,0.000010,0.283000
8,0.569904,0.000010,0.103000
9,0.632545,0.000010,0.734000
10,0.745580,0.000010,0.645000
11,0.814790,0.000010,0.063000
12,0.902213,0.000010,0.402000
13,0.968362,0.000010,0.675000
14,1.032593,0.000010,0.254000
15,1.099044,0.000010,0.246000
16,1.174684,0.000010,0.106000
17,1.240632,0.000010,0.418000
18,1.307105,0.000010,0.703000
19,1.377564,0.000010,0.070000
20,1.462272,0.000010,0.258000
21,1.552146,0.000010,0.185000
22,1.630541,0.000010,0.346000
23,1.701610,0.000010,0.379000
24,1.773449,0.000010,0.543000
25,1.841233,0.000010,0.064000
26,1.920059,0.000010,0.384000
27,1.993770,0.000010,0.247000
28,2.075106,0.000010,0.481000
29,2.145822,0.000010,0.302000
30,2.208771,0.000010,0.253000
31,2.272113,0.000010,0.715000
32,2.352323,0.000010,0.586000
33,2.416309,0.000010,0.784000
34,2.485337,-0.000010,0.329000
35,2.568961,-0.000010,0.117000
36,2.647197,-0.000010,0.526000
37,2.718302,-0.000010,0.777000
38,2.792110,-0.000010,0.492000
39,2.860380,-0.000010,0.093000
40,2.930464,-0.000010,0.754000
41,3.011436,-0.000010,0.230000
42,3.082913,-0.000010,0.273000
43,3.160070,-0.000010,0.776000
44,3.230869,-0.000010,0.577000
45,3.305462,-0.000010,0.355000
46,3.373651,-0.000010,0.300000
47,3.452047,-0.000010,0.740000
48,3.527455,-0.000010,0.259000
49,3.597932,-0.000010,0.579000
50,3.668837,-0.000010,0.491000
51,3.744963,-0.000010,0.402000
52,3.821087,-0.000010,0.414000
53,3.912407,-0.000010,0.105000
54,3.998590,-0.000010,0.465000
55,4.072796,-0.000010,0.728000
56,4.150236,-0.000010,0.174000
57,4.217811,-0.000010,0.706000
58,4.325476,-0.000010,0.513000
59,4.396922,-0.000010,0.641000
60,4.464236,-0.000010,0.501000
61,4.534956,-0.000010,0.237000
62,4.600976,-0.000010,0.211000
63,4.672474,-0.000010,0.472000
64,4.743060,-0.000010,0.224000
65,4.808121,-0.000010,0.381000
66,4.878763,-0.000010,0.078000
67,4.950450,0.000010,0.295000
68,5.017977,0.000010,0.408000
69,5.100163,0.000010,0.649000
70,5.167019,0.000010,0.294000
71,5.236830,0.000010,0.339000
72,5.305865,0.000010,0.506000
73,5.372863,0.000010,0.177000
74,5.440748,0.000010,0.154000
75,5.517897,0.000010,0.266000
76,5.585704,0.000010,0.596000
77,5.651180,0.000010,0.592000
78,5.727344,0.000010,0.298000
79,5.797693,0.000010,0.390000
80,5.867442,0.000010,0.474000
81,5.941897,0.000010,0.215000
82,6.011463,0.000010,0.624000
83,6.082041,0.000010,0.073000
84,6.157290,0.000010,0.250000
85,6.227363,0.000010,0.091000
86,6.309522,0.000010,0.296000
87,6.387192,0.000010,0.546000
88,6.456222,0.000010,0.104000
89,6.535091,0.000010,0.231000
90,6.609901,0.000010,0.754000
91,6.683407,0.000010,0.724000
92,6.766511,0.000010,0.286000
93,6.837012,0.000010,0.268000
94,6.925394,0.000010,0.405000
95,7.013052,0.000010,0.409000
96,7.103775,0.000010,0.105000
97,7.173476,0.000010,0.501000
98,7.257166,0.000010,0.506000
99,7.337172,0.000010,0.292000
100,7.407244,0.000010,0.189000
101,7.485783,0.000010,0.713000
102,7.578633,0.000010,0.090000
103,7.662213,0.000010,0.254000
104,7.740484,0.000010,0.299000
105,7.811958,0.000010,0.590000
106,7.916691,0.000010,0.518000
107,7.999590,0.000010,0.130000
108,8.078672,0.000010,0.673000
109,8.153214,0.000010,0.282000
110,8.232049,0.000010,0.589000
111,8.301987,0.000010,0.520000
112,8.378149,0.000010,0.348000
113,8.443820,0.000010,0.186000
114,8.521434,0.000010,0.065000
115,8.586655,0.000010,0.136000
116,8.651911,0.000010,0.377000
117,8.724254,0.000010,0.263000
118,8.790658,0.000010,0.306000
119,8.855524,0.000010,0.197000
120,8.928853,0.000010,0.176000
121,8.994523,0.000010,0.314000
122,9.075459,0.000010,0.725000
123,9.153482,0.000010,0.527000
124,9.219740,0.000010,0.404000
125,9.285492,0.000010,0.252000
126,9.363315,0.000010,0.764000
127,9.430835,-0.000010,0.676000
128,9.507152,-0.000010,0.122000
129,9.583506,-0.000010,0.376000
130,9.651646,-0.000010,0.112000
131,9.724855,-0.000010,0.211000
132,9.794347,-0.000010,0.228000
133,9.877278,-0.000010,0.736000
134,9.955527,-0.000010,0.089000
135,10.022690,-0.000010,0.691000
136,10.096506,-0.000010,0.063000
